Model,IND,TLF,Lit,Overall,AvgCost,IND cost,TLF cost,Lit cost,Type
GPT-5.6 Luna,87,54.85,93.6,78.4833,1.5805,3.52,0.61,0.6115,closed
GLM-5.2,82.7,86,93.6,87.4333,2.1914,2.86,3.27,0.4441,open
Opus 4.8,76.7,77.5,93.6,82.6,19.9777,30.27,25.91,3.7529,closed
Opus 5,86.7,78.5,93.6,86.2667,22.2949,26.03,36.65,4.2046,closed
GPT-5.6 Sol,86.3,85.2,93.6,88.3667,6.4756,3.69,12.82,2.9168,closed
GPT-5.6 Terra,91.2,69.5,93.6,84.7667,1.9393,3.37,1.06,1.3879,closed
Nemotron 3 Ultra,54.3,65,91.5,70.2667,2.255,4.7,1.55,0.5151,open
Kimi K2.6,71.7,63.5,91.5,75.5667,1.2993,1.71,1.52,0.6679,open
Kimi K3,86.7,82.35,91.5,86.85,3.8621,3.08,6.81,1.6962,open
Gemini 3.1 Pro,73.5,77.5,91.5,80.8333,3.1476,4.33,3.51,1.6027,closed
Grok 4.5,82.3,79.2,91.5,84.3333,4.9453,10.82,2.9,1.1158,closed
Opus 4.7,80,73.4,91.5,81.6333,19.3166,22.21,31.93,3.8098,closed
Sonnet 4.6,65,72.5,91.5,76.3333,7.511,13.43,7.35,1.7531,closed
GPT-5.5,82.3,81,91.5,84.9333,2.823,3.64,2.19,2.639,closed
DeepSeek V4,75,63.4,89.4,75.9333,1.0682,0.94,1.23,1.0345,open
Gemma 4 31B,72.7,58.5,89.4,73.5333,0.974,0.43,2.24,0.2519,open
Opus 4.6,76.7,71.4,89.4,79.1667,11.8109,22.05,10.23,3.1528,closed
MiniMax M3,70,63.5,87.2,73.5667,0.9802,1.82,0.91,0.2106,open
Sonnet 5,76.7,67.2,85.1064,76.3355,10.912,6.77,23.7,2.2659,closed
GLM-5.3,86,88.2,93.6,89.2667,5.04,3.31,6.77,,open
GLM-5.3 Flash,85,85.3,92.55,87.6167,0.385,0.15,0.62,,open
Gemini 3.7 Flash,84,78.7,93.6,85.4333,1.76,1.37,2.15,,closed
Gemini 3.8 Flash,88,84.1,93.6,88.5667,5.02,2.56,7.48,,closed
Muse Spark 1.3,90,73.3,91.49,84.93,2.47,1.13,3.81,,open
GPT-6 Astra,,86.2,,,15.19,,15.19,,closed
